"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"서초1동",1,서울특별시 서초구 남부순환로337가길 51-9,서울특별시 서초구 서초동 1434-2,37.48449946,127.0236604,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 43-8,서울특별시 서초구 서초동 1434-6,37.48430714,127.0234299,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 33,서울특별시 서초구 서초동 1434-12,37.48394312,127.0235044,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 21,서울특별시 서초구 서초동 1436-10,37.48391982,127.0228603,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 효령로70길 36-25,서울특별시 서초구 서초동 1435-6,37.48492207,127.0239581,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 51-6,서울특별시 서초구 서초동 1435-2,37.48465139,127.0240308,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 51-6,서울특별시 서초구 서초동 1435-2,37.48465139,127.0240308,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 70,서울특별시 서초구 서초동 1420-6,37.4848899136,127.0247654824,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 70,서울특별시 서초구 서초동 1420-6,37.4848899136,127.0247654824,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 26,서울특별시 서초구 서초동 1421-1,37.4836213926,127.0229363515,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 26,서울특별시 서초구 서초동 1422-1,37.48362139,127.0229364,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2493,서울특별시 서초구 서초동 1422-5,37.48333902,127.0229203,2009,건축물,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2497,서울특별시 서초구 서초동 1422-7,37.48354351,127.0235521,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2497,서울특별시 서초구 서초동 1422-7,37.48354351,127.0235521,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 69,서울특별시 서초구 서초동 1435-18,37.48508603,127.0244855,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2481,서울특별시 서초구 서초동 1423-1,,,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2481,서울특별시 서초구 서초동 1423-1,,,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2481,서울특별시 서초구 서초동 1423-2,,,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2481,서울특별시 서초구 서초동 1423-1,,,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2477,서울특별시 서초구 서초동 1424-1,37.4831931017,127.0212300806,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2477,서울특별시 서초구 서초동 1424-2,37.4831931,127.0212301,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로 2477,서울특별시 서초구 서초동 1424-2,37.4831931,127.0212301,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 16,서울특별시 서초구 서초동 1429-1,37.48338293,127.020307,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 22,서울특별시 서초구 서초동 1429-3,37.48360929,127.0206265,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로335길 21,서울특별시 서초구 서초동 1432-1,37.48374276,127.0210076,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 36,서울특별시 서초구 서초동 1431-1,37.48402963,127.0210628,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 50,서울특별시 서초구 서초동 1431-11,37.48443814,127.0216038,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 56,서울특별시 서초구 서초동 1431-13,37.48463172,127.0218586,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로339길 33,서울특별시 서초구 서초동 1431-14,37.48442834,127.0219613,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로335길 35,서울특별시 서초구 서초동 1431-7,37.48411072,127.0215296,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337길 20,서울특별시 서초구 서초동 1431-15,37.4838619,127.0213222,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 3-3,서울특별시 서초구 서초동 1432-3,37.48372994,127.0216279,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 11-10,서울특별시 서초구 서초동 1432-16,37.4840674543,127.0221364357,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 11-6,서울특별시 서초구 서초동 1432-18,37.48381065,127.0222146,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로333길 10,서울특별시 서초구 서초동 1429-8,37.4831618,127.0204142,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로335길 13,서울특별시 서초구 서초동 1429-7,37.48342142,127.0206967,2009,전용주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 남부순환로337가길 11-3,서울특별시 서초구 서초동 1432-11,37.48379565,127.0219867,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
"서초1동",1,서울특별시 서초구 효령로68길 81,서울특별시 서초구 서초동 1444-7,37.48518641,127.0206731,2009,한전주,02-2155-6996,서울특별시 서초구청,2020-10-20
